"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"failed","Tue Nov 21 12:25:53 GMT 2023","Tue Nov 21 12:26:15 GMT 2023","21754","","ru.bellintegrator.ru.yandex.market.MarketTest","","ru.bellintegrator.ru.yandex.market.MarketTest","marketTest","Соответствие результатов поиска установленным фильтрам [3]: https://ya.ru/, Маркет, Электроника, Смартфоны, {Производитель=[Black Shark]}, {Производитель=[Black Shark]}",""
"failed","Tue Nov 21 12:26:27 GMT 2023","Tue Nov 21 12:26:38 GMT 2023","11363","","ru.bellintegrator.ru.yandex.market.MarketTest","","ru.bellintegrator.ru.yandex.market.MarketTest","marketTest","Соответствие результатов поиска установленным фильтрам [5]: https://ya.ru/, Маркет, Электроника, Смартфоны, {Производитель=[Apple]}, {Производитель=[Apple, IPhone]}",""
"failed","Tue Nov 21 12:26:38 GMT 2023","Tue Nov 21 12:26:50 GMT 2023","11868","","ru.bellintegrator.ru.yandex.market.MarketTest","","ru.bellintegrator.ru.yandex.market.MarketTest","marketTest","Соответствие результатов поиска установленным фильтрам [6]: https://ya.ru/, Маркет, Электроника, Смартфоны, {Производитель=[Google]}, {Производитель=[Google]}",""
"failed","Tue Nov 21 12:26:50 GMT 2023","Tue Nov 21 12:27:02 GMT 2023","11813","","ru.bellintegrator.ru.yandex.market.MarketTest","","ru.bellintegrator.ru.yandex.market.MarketTest","marketTest","Соответствие результатов поиска установленным фильтрам [7]: https://ya.ru/, Маркет, Электроника, Смартфоны, {Производитель=[Seals]}, {Производитель=[Seals]}",""
"failed","Tue Nov 21 12:26:15 GMT 2023","Tue Nov 21 12:26:27 GMT 2023","11859","","ru.bellintegrator.ru.yandex.market.MarketTest","","ru.bellintegrator.ru.yandex.market.MarketTest","marketTest","Соответствие результатов поиска установленным фильтрам [4]: https://ya.ru/, Маркет, Электроника, Смартфоны, {Производитель=[OnePlus]}, {Производитель=[OnePlus, One Plus]}",""
"failed","Tue Nov 21 12:25:17 GMT 2023","Tue Nov 21 12:25:29 GMT 2023","12591","","ru.bellintegrator.ru.yandex.market.MarketTest","","ru.bellintegrator.ru.yandex.market.MarketTest","marketTest","Соответствие результатов поиска установленным фильтрам [1]: https://ya.ru/, Маркет, Электроника, Смартфоны, {Производитель=[Seals, Google, Apple, Black Shark, ASUS, OnePlus]}, {Производитель=[Seals, Google, Apple, Black Shark, ASUS, OnePlus]}",""
"failed","Tue Nov 21 12:25:29 GMT 2023","Tue Nov 21 12:25:53 GMT 2023","23725","","ru.bellintegrator.ru.yandex.market.MarketTest","","ru.bellintegrator.ru.yandex.market.MarketTest","marketTest","Соответствие результатов поиска установленным фильтрам [2]: https://ya.ru/, Маркет, Электроника, Смартфоны, {Производитель=[ASUS]}, {Производитель=[ASUS]}",""
