"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"failed","Tue Nov 21 14:08:16 GMT 2023","Tue Nov 21 14:08:41 GMT 2023","24280","","ru.bellintegrator.ru.yandex.market.MarketTest","","ru.bellintegrator.ru.yandex.market.MarketTest","marketTest","Соответствие результатов поиска установленным фильтрам [6]: https://ya.ru/, Маркет, Электроника, Смартфоны, {Производитель=[Google]}, {Производитель=[Google]}",""
"failed","Tue Nov 21 14:07:27 GMT 2023","Tue Nov 21 14:07:39 GMT 2023","12154","","ru.bellintegrator.ru.yandex.market.MarketTest","","ru.bellintegrator.ru.yandex.market.MarketTest","marketTest","Соответствие результатов поиска установленным фильтрам [2]: https://ya.ru/, Маркет, Электроника, Смартфоны, {Производитель=[ASUS]}, {Производитель=[ASUS]}",""
"failed","Tue Nov 21 14:08:41 GMT 2023","Tue Nov 21 14:08:52 GMT 2023","11555","","ru.bellintegrator.ru.yandex.market.MarketTest","","ru.bellintegrator.ru.yandex.market.MarketTest","marketTest","Соответствие результатов поиска установленным фильтрам [7]: https://ya.ru/, Маркет, Электроника, Смартфоны, {Производитель=[Seals]}, {Производитель=[Seals]}",""
"failed","Tue Nov 21 14:07:52 GMT 2023","Tue Nov 21 14:08:04 GMT 2023","12384","","ru.bellintegrator.ru.yandex.market.MarketTest","","ru.bellintegrator.ru.yandex.market.MarketTest","marketTest","Соответствие результатов поиска установленным фильтрам [4]: https://ya.ru/, Маркет, Электроника, Смартфоны, {Производитель=[OnePlus]}, {Производитель=[One Plus, OnePlus]}",""
"failed","Tue Nov 21 14:07:14 GMT 2023","Tue Nov 21 14:07:27 GMT 2023","13254","","ru.bellintegrator.ru.yandex.market.MarketTest","","ru.bellintegrator.ru.yandex.market.MarketTest","marketTest","Соответствие результатов поиска установленным фильтрам [1]: https://ya.ru/, Маркет, Электроника, Смартфоны, {Производитель=[OnePlus, ASUS, Black Shark, Apple, Google, Seals]}, {Производитель=[OnePlus, ASUS, Black Shark, Apple, Google, Seals]}",""
"failed","Tue Nov 21 14:07:39 GMT 2023","Tue Nov 21 14:07:52 GMT 2023","12232","","ru.bellintegrator.ru.yandex.market.MarketTest","","ru.bellintegrator.ru.yandex.market.MarketTest","marketTest","Соответствие результатов поиска установленным фильтрам [3]: https://ya.ru/, Маркет, Электроника, Смартфоны, {Производитель=[Black Shark]}, {Производитель=[Black Shark]}",""
"failed","Tue Nov 21 14:08:04 GMT 2023","Tue Nov 21 14:08:16 GMT 2023","12246","","ru.bellintegrator.ru.yandex.market.MarketTest","","ru.bellintegrator.ru.yandex.market.MarketTest","marketTest","Соответствие результатов поиска установленным фильтрам [5]: https://ya.ru/, Маркет, Электроника, Смартфоны, {Производитель=[Apple]}, {Производитель=[IPhone, Apple]}",""
