"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"failed","Tue Feb 13 13:00:04 GMT 2024","Tue Feb 13 13:00:15 GMT 2024","11030","","ru.bellintegrator.ru.yandex.market.MarketTest","","ru.bellintegrator.ru.yandex.market.MarketTest","marketTest","Соответствие результатов поиска установленным фильтрам [3]: https://ya.ru/, Маркет, Электроника, Смартфоны, {Производитель=[Black Shark]}, {Производитель=[Black Shark]}",""
"failed","Tue Feb 13 13:00:15 GMT 2024","Tue Feb 13 13:00:25 GMT 2024","9806","","ru.bellintegrator.ru.yandex.market.MarketTest","","ru.bellintegrator.ru.yandex.market.MarketTest","marketTest","Соответствие результатов поиска установленным фильтрам [4]: https://ya.ru/, Маркет, Электроника, Смартфоны, {Производитель=[OnePlus]}, {Производитель=[OnePlus, One Plus]}",""
"failed","Tue Feb 13 12:59:53 GMT 2024","Tue Feb 13 13:00:04 GMT 2024","11107","","ru.bellintegrator.ru.yandex.market.MarketTest","","ru.bellintegrator.ru.yandex.market.MarketTest","marketTest","Соответствие результатов поиска установленным фильтрам [2]: https://ya.ru/, Маркет, Электроника, Смартфоны, {Производитель=[ASUS]}, {Производитель=[ASUS]}",""
"failed","Tue Feb 13 12:59:40 GMT 2024","Tue Feb 13 12:59:53 GMT 2024","12826","","ru.bellintegrator.ru.yandex.market.MarketTest","","ru.bellintegrator.ru.yandex.market.MarketTest","marketTest","Соответствие результатов поиска установленным фильтрам [1]: https://ya.ru/, Маркет, Электроника, Смартфоны, {Производитель=[Black Shark, ASUS, OnePlus, Seals, Google, Apple]}, {Производитель=[Black Shark, ASUS, OnePlus, Seals, Google, Apple]}",""
"failed","Tue Feb 13 13:00:46 GMT 2024","Tue Feb 13 13:00:57 GMT 2024","10865","","ru.bellintegrator.ru.yandex.market.MarketTest","","ru.bellintegrator.ru.yandex.market.MarketTest","marketTest","Соответствие результатов поиска установленным фильтрам [7]: https://ya.ru/, Маркет, Электроника, Смартфоны, {Производитель=[Seals]}, {Производитель=[Seals]}",""
"failed","Tue Feb 13 13:00:36 GMT 2024","Tue Feb 13 13:00:46 GMT 2024","10132","","ru.bellintegrator.ru.yandex.market.MarketTest","","ru.bellintegrator.ru.yandex.market.MarketTest","marketTest","Соответствие результатов поиска установленным фильтрам [6]: https://ya.ru/, Маркет, Электроника, Смартфоны, {Производитель=[Google]}, {Производитель=[Google]}",""
"failed","Tue Feb 13 13:00:25 GMT 2024","Tue Feb 13 13:00:36 GMT 2024","11197","","ru.bellintegrator.ru.yandex.market.MarketTest","","ru.bellintegrator.ru.yandex.market.MarketTest","marketTest","Соответствие результатов поиска установленным фильтрам [5]: https://ya.ru/, Маркет, Электроника, Смартфоны, {Производитель=[Apple]}, {Производитель=[Apple, IPhone]}",""
