"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"failed","Tue Nov 21 12:32:49 GMT 2023","Tue Nov 21 12:33:00 GMT 2023","10986","","ru.bellintegrator.ru.yandex.market.MarketTest","","ru.bellintegrator.ru.yandex.market.MarketTest","marketTest","Соответствие результатов поиска установленным фильтрам [3]: https://ya.ru/, Маркет, Электроника, Смартфоны, {Производитель=[Black Shark]}, {Производитель=[Black Shark]}",""
"failed","Tue Nov 21 12:33:11 GMT 2023","Tue Nov 21 12:33:22 GMT 2023","11095","","ru.bellintegrator.ru.yandex.market.MarketTest","","ru.bellintegrator.ru.yandex.market.MarketTest","marketTest","Соответствие результатов поиска установленным фильтрам [5]: https://ya.ru/, Маркет, Электроника, Смартфоны, {Производитель=[Apple]}, {Производитель=[Apple, IPhone]}",""
"failed","Tue Nov 21 12:32:26 GMT 2023","Tue Nov 21 12:32:49 GMT 2023","23425","","ru.bellintegrator.ru.yandex.market.MarketTest","","ru.bellintegrator.ru.yandex.market.MarketTest","marketTest","Соответствие результатов поиска установленным фильтрам [2]: https://ya.ru/, Маркет, Электроника, Смартфоны, {Производитель=[ASUS]}, {Производитель=[ASUS]}",""
"failed","Tue Nov 21 12:32:14 GMT 2023","Tue Nov 21 12:32:26 GMT 2023","11771","","ru.bellintegrator.ru.yandex.market.MarketTest","","ru.bellintegrator.ru.yandex.market.MarketTest","marketTest","Соответствие результатов поиска установленным фильтрам [1]: https://ya.ru/, Маркет, Электроника, Смартфоны, {Производитель=[Seals, Google, Apple, Black Shark, ASUS, OnePlus]}, {Производитель=[Seals, Google, Apple, Black Shark, ASUS, OnePlus]}",""
"failed","Tue Nov 21 12:33:33 GMT 2023","Tue Nov 21 12:33:53 GMT 2023","19862","","ru.bellintegrator.ru.yandex.market.MarketTest","","ru.bellintegrator.ru.yandex.market.MarketTest","marketTest","Соответствие результатов поиска установленным фильтрам [7]: https://ya.ru/, Маркет, Электроника, Смартфоны, {Производитель=[Seals]}, {Производитель=[Seals]}",""
"failed","Tue Nov 21 12:33:22 GMT 2023","Tue Nov 21 12:33:33 GMT 2023","10932","","ru.bellintegrator.ru.yandex.market.MarketTest","","ru.bellintegrator.ru.yandex.market.MarketTest","marketTest","Соответствие результатов поиска установленным фильтрам [6]: https://ya.ru/, Маркет, Электроника, Смартфоны, {Производитель=[Google]}, {Производитель=[Google]}",""
"failed","Tue Nov 21 12:33:00 GMT 2023","Tue Nov 21 12:33:11 GMT 2023","11118","","ru.bellintegrator.ru.yandex.market.MarketTest","","ru.bellintegrator.ru.yandex.market.MarketTest","marketTest","Соответствие результатов поиска установленным фильтрам [4]: https://ya.ru/, Маркет, Электроника, Смартфоны, {Производитель=[OnePlus]}, {Производитель=[OnePlus, One Plus]}",""
