"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"failed","Sun Nov 19 18:23:09 GMT 2023","Sun Nov 19 18:23:21 GMT 2023","12027","","ru.bellintegrator.ru.yandex.market.MarketTest","","ru.bellintegrator.ru.yandex.market.MarketTest","marketTest","Соответствие результатов поиска установленным фильтрам [5]: https://ya.ru/, Маркет, Электроника, Смартфоны, {Производитель=[Apple]}, {Производитель=[Apple, IPhone]}",""
"failed","Sun Nov 19 18:22:21 GMT 2023","Sun Nov 19 18:22:33 GMT 2023","12415","","ru.bellintegrator.ru.yandex.market.MarketTest","","ru.bellintegrator.ru.yandex.market.MarketTest","marketTest","Соответствие результатов поиска установленным фильтрам [1]: https://ya.ru/, Маркет, Электроника, Смартфоны, {Производитель=[OnePlus, Seals, Google, Apple, Black Shark, ASUS]}, {Производитель=[OnePlus, Seals, Google, Apple, Black Shark, ASUS]}",""
"failed","Sun Nov 19 18:22:57 GMT 2023","Sun Nov 19 18:23:09 GMT 2023","12016","","ru.bellintegrator.ru.yandex.market.MarketTest","","ru.bellintegrator.ru.yandex.market.MarketTest","marketTest","Соответствие результатов поиска установленным фильтрам [4]: https://ya.ru/, Маркет, Электроника, Смартфоны, {Производитель=[OnePlus]}, {Производитель=[OnePlus, One Plus]}",""
"failed","Sun Nov 19 18:23:21 GMT 2023","Sun Nov 19 18:23:32 GMT 2023","11230","","ru.bellintegrator.ru.yandex.market.MarketTest","","ru.bellintegrator.ru.yandex.market.MarketTest","marketTest","Соответствие результатов поиска установленным фильтрам [6]: https://ya.ru/, Маркет, Электроника, Смартфоны, {Производитель=[Google]}, {Производитель=[Google]}",""
"failed","Sun Nov 19 18:23:32 GMT 2023","Sun Nov 19 18:23:54 GMT 2023","21522","","ru.bellintegrator.ru.yandex.market.MarketTest","","ru.bellintegrator.ru.yandex.market.MarketTest","marketTest","Соответствие результатов поиска установленным фильтрам [7]: https://ya.ru/, Маркет, Электроника, Смартфоны, {Производитель=[Seals]}, {Производитель=[Seals]}",""
"failed","Sun Nov 19 18:22:45 GMT 2023","Sun Nov 19 18:22:57 GMT 2023","11293","","ru.bellintegrator.ru.yandex.market.MarketTest","","ru.bellintegrator.ru.yandex.market.MarketTest","marketTest","Соответствие результатов поиска установленным фильтрам [3]: https://ya.ru/, Маркет, Электроника, Смартфоны, {Производитель=[Black Shark]}, {Производитель=[Black Shark]}",""
"failed","Sun Nov 19 18:22:34 GMT 2023","Sun Nov 19 18:22:45 GMT 2023","11858","","ru.bellintegrator.ru.yandex.market.MarketTest","","ru.bellintegrator.ru.yandex.market.MarketTest","marketTest","Соответствие результатов поиска установленным фильтрам [2]: https://ya.ru/, Маркет, Электроника, Смартфоны, {Производитель=[ASUS]}, {Производитель=[ASUS]}",""
